,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
336536,BLPU_906700406335_TopographicArea_osgb1000002038515128_5,906700406335,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
336537,BLPU_906700406343_TopographicArea_osgb1000002038515128_5,906700406343,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
336538,BLPU_906700406353_TopographicArea_osgb1000002038515128_5,906700406353,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
336539,BLPU_906700406361_TopographicArea_osgb1000002038515128_5,906700406361,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
336540,BLPU_906700406363_TopographicArea_osgb1000002038515128_5,906700406363,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
342125,BLPU_906700384659_TopographicArea_osgb1000040412156_5,906700384659,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
342426,BLPU_906700389305_TopographicArea_osgb1000040410595_5,906700389305,,20160210000000,osgb1000040410595,13,20180910000000,Version information is correct
346672,BLPU_906700379054_TopographicArea_osgb1000002038248922_5,906700379054,,20200226000000,osgb1000002038248922,6,20080210000000,Version information is correct
348787,BLPU_906700349153_TopographicArea_osgb1000040412157_5,906700349153,,20200323000000,osgb1000040412157,7,20080210000000,Version information is correct
349219,BLPU_906700356433_TopographicArea_osgb1000040412199_5,906700356433,,20200226000000,osgb1000040412199,11,20150507000000,Version information is correct
154364,BLPU_906700439500_TopographicArea_osgb1000040412156_5,906700439500,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
233510,BLPU_906700537644_TopographicArea_osgb1000040410595_5,906700537644,,20201006000000,osgb1000040410595,13,20180910000000,Version information is correct
233729,BLPU_906700059907_TopographicArea_osgb1000002038487482_5,906700059907,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
281488,BLPU_906700326195_TopographicArea_osgb1000040410595_5,906700326195,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
380738,BLPU_906700406320_TopographicArea_osgb1000002038515128_5,906700406320,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
391118,BLPU_906700406132_TopographicArea_osgb1000002038515043_5,906700406132,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
55373,BLPU_906700090457_TopographicArea_osgb1000040412275_5,906700090457,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
92088,BLPU_906700319260_TopographicArea_osgb1000040410595_5,906700319260,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
92180,BLPU_906700406223_TopographicArea_osgb1000002038515043_5,906700406223,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
92457,BLPU_906700059900_TopographicArea_osgb1000040410551_5,906700059900,,20161127000000,osgb1000040410551,3,20030224000000,Version information is correct
93746,BLPU_906700439486_TopographicArea_osgb1000040412156_5,906700439486,,20200202000000,osgb1000040412156,7,20080210000000,Version information is correct
174062,BLPU_906700406322_TopographicArea_osgb1000002038515128_5,906700406322,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
177507,BLPU_906700402419_TopographicArea_osgb1000002038441601_5,906700402419,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
198216,BLPU_906700326194_TopographicArea_osgb1000040410595_5,906700326194,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
213861,BLPU_10092030110_TopographicArea_osgb1000040410595_5,10092030110,,20200730000000,osgb1000040410595,13,20180910000000,Version information is correct
296289,BLPU_906700406254_TopographicArea_osgb1000002038515128_5,906700406254,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
341698,BLPU_906700406253_TopographicArea_osgb1000002038515128_5,906700406253,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
341699,BLPU_906700406334_TopographicArea_osgb1000002038515128_5,906700406334,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
381523,BLPU_906700115721_TopographicArea_osgb1000040412156_5,906700115721,,20200203000000,osgb1000040412156,7,20080210000000,Version information is correct
391667,BLPU_906700439469_TopographicArea_osgb1000040412156_5,906700439469,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
20492,BLPU_906700406302_TopographicArea_osgb1000002038515128_5,906700406302,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
20515,BLPU_906700439451_TopographicArea_osgb1000040412156_5,906700439451,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
103330,BLPU_906700006024_TopographicArea_osgb1000040410595_5,906700006024,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
184972,BLPU_906700406209_TopographicArea_osgb1000002038515043_5,906700406209,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
184973,BLPU_906700406229_TopographicArea_osgb1000002038515128_5,906700406229,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
233559,BLPU_906700405848_TopographicArea_osgb1000002038515043_5,906700405848,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
266386,BLPU_906700083268_TopographicArea_osgb1000040412240_5,906700083268,,20160210000000,osgb1000040412240,14,20131205000000,Version information is correct
386815,BLPU_906700083246_TopographicArea_osgb1000040410573_5,906700083246,,20200226000000,osgb1000040410573,4,20131003000000,Version information is correct
419580,BLPU_906700006034_TopographicArea_osgb1000040410595_5,906700006034,,20210329000000,osgb1000040410595,13,20180910000000,Version information is correct
424542,BLPU_906700389565_TopographicArea_osgb1000040410552_5,906700389565,,20160210000000,osgb1000040410552,5,20050928000000,Version information is correct
